 Race , Age  , Trial     , LettersSent ,YYES,YNO,Y3,Y4,Y5,Test
 W    ,34,2,0,YES,NO,YES,YES,YES,YES
 W    ,38,2,0,YES,NO,YES,YES,YES,YES
 W    ,46,2,0,YES,NO,YES,YES,YES,YES
 B    ,45,2,0,YES,YES,YES,NO,YES,NO
 W    ,40,2,0,NO,NO,YES,NO,YES,YES
 W    ,57,2,0,YES,NO,YES,YES,YES,YES
 B    ,61,2,0,YES,NO,YES,YES,YES,YES
 W    ,47,2,0,YES,NO,YES,YES,YES,YES
 B    ,46,2,0,YES,NO,YES,YES,YES,YES
 W    ,44,2,0,NO,NO,YES,NO,YES,YES
 B    ,32,2,0,YES,NO,YES,YES,YES,NO
 W    ,56,2,0,YES,NO,YES,YES,YES,NO
 B    ,36,2,0,YES,YES,YES,NO,YES,NO
 W    ,53,2,0,YES,NO,YES,YES,YES,YES
 B    ,29,2,0,YES,NO,YES,YES,YES,YES
 B    ,41,2,0,YES,YES,YES,YES,YES,YES
 A    ,49,2,0,YES,YES,YES,NO,YES,NO
 W    ,45,2,0,YES,NO,YES,YES,YES,YES
 W    ,55,2,0,YES,NO,YES,YES,YES,YES
 W    ,36,2,0,NO,NO,YES,NO,YES,YES
 W    ,45,2,0,YES,YES,YES,NO,YES,YES
 B    ,51,2,0,NO,NO,YES,NO,YES,YES
 W    ,23,2,0,NO,NO,NO,YES,YES,YES
 B    ,42,2,0,NO,NO,NO,YES,YES,YES
 B    ,28,2,0,NO,NO,NO,YES,YES,NO
 W    ,35,2,0,NO,NO,NO,YES,YES,YES
 W    ,27,2,0,NO,NO,NO,NO,YES,NO
 W    ,39,2,0,NO,NO,NO,YES,YES,YES
 B    ,21,2,0,NO,NO,NO,NO,YES,YES
 B    ,20,2,0,NO,NO,NO,NO,NO,YES
 B    ,68,2,0,NO,NO,NO,NO,YES,NO
 B    ,62,2,0,NO,NO,YES,NO,YES,YES
 B    ,27,2,0,NO,NO,NO,YES,YES,YES
 U    ,37,2,0,NO,NO,NO,NO,YES,YES
 O    ,38,2,0,NO,NO,NO,NO,YES,YES
 W    ,34,2,0,NO,NO,NO,NO,YES,NO
 W    ,48,2,0,NO,NO,NO,NO,NO,NO
 W    ,59,2,0,NO,NO,NO,NO,NO,YES
 M    ,19,2,0,NO,NO,NO,NO,NO,NO
 W    ,59,2,0,NO,NO,NO,YES,YES,YES
 W    ,25,2,0,NO,NO,NO,NO,NO,NO
 B    ,29,2,0,YES,YES,YES,NO,YES,NO
 W    ,84,2,0,YES,YES,YES,YES,YES,NO
 W    ,55,2,0,YES,YES,YES,NO,YES,YES
 W    ,66,2,0,YES,NO,YES,YES,YES,NO
 W    ,65,2,0,YES,NO,YES,YES,YES,YES
 W    ,62,2,0,YES,NO,YES,NO,YES,YES
 B    ,48,2,0,YES,YES,YES,YES,YES,YES
 W    ,57,2,0,YES,NO,YES,YES,YES,YES
 W    ,86,2,0,YES,YES,YES,NO,YES,NO
 W    ,67,2,0,YES,NO,YES,YES,YES,NO
 W    ,33,2,0,YES,NO,YES,YES,YES,YES
 W    ,66,2,0,YES,NO,YES,NO,YES,YES
 W    ,33,2,0,YES,NO,YES,NO,YES,YES
 B    ,31,2,0,NO,NO,YES,YES,YES,YES
 W    ,81,2,0,YES,NO,YES,YES,YES,YES
 O    ,81,2,0,YES,YES,YES,NO,YES,NO
 B    ,30,2,0,YES,NO,YES,YES,YES,NO
 W    ,27,2,0,NO,YES,YES,NO,YES,YES
 B    ,40,2,0,NO,NO,YES,YES,YES,YES
 W    ,38,2,0,NO,NO,YES,YES,YES,YES
 W    ,32,2,0,NO,NO,YES,NO,YES,NO
 W    ,46,2,0,NO,NO,YES,NO,YES,YES
 W    ,65,2,0,NO,NO,YES,YES,YES,YES
 B    ,26,2,0,NO,NO,YES,YES,YES,YES
 B    ,40,2,0,NO,NO,YES,NO,YES,NO
 B    ,30,2,0,NO,NO,YES,YES,YES,YES
 W    ,24,2,0,NO,NO,NO,YES,YES,YES
 W    ,31,2,0,NO,NO,YES,YES,YES,YES
 B    ,28,2,0,NO,NO,NO,YES,YES,NO
 W    ,34,2,0,NO,NO,YES,YES,YES,YES
 W    ,60,2,0,NO,NO,YES,NO,YES,NO
 W    ,22,2,0,NO,NO,NO,NO,YES,YES
 W    ,41,2,0,NO,NO,NO,NO,YES,YES
 W    ,42,2,0,YES,NO,NO,YES,YES,YES
 O    ,37,2,0,NO,NO,NO,NO,YES,YES
 A    ,43,2,0,NO,NO,NO,NO,NO,NO
 B    ,57,2,0,NO,NO,NO,NO,YES,YES
